,Unnamed: 0.1,Unnamed: 0,actor,url,org_form
56,56,56,Klimarealistene,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=995314592,Frivillig organisasjon
57,57,57,Knut Olsvik,,Privatperson
58,58,58,Kristiansand kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=820852982,Offentlig forvaltning
59,59,59,Kulturdirektoratet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971527412,Offentlig forvaltning
60,60,60,Kulturrådet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=920777422,Offentlig forvaltning
61,61,61,Kulturtanken,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=974761114,Offentlig forvaltning
62,62,62,Kvinnherad INP,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=925825492,Politisk parti
63,63,63,Kviteseid Offentlig forvaltning,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=964963827,Offentlig forvaltning
64,64,64,"Landssamanslutninga av Vasskraftkommunar (LVK), Landssammenslutninga av Norske Vindkraftkommuner (LNVK) og Utmarkskommunenes Sammenslutning (USS)",,Interessegruppe
65,65,65,Lars G Solvik,,Privatperson
66,66,66,Larvik kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=918082956,Offentlig forvaltning
67,67,67,Akershus fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=930580783,Offentlig forvaltning
68,68,68,Aurskog-Høland kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=948164256,Offentlig forvaltning
69,69,69,Avfall Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971274409,Interessegruppe
70,70,70,Avinor,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=985198292,Bedrift
71,71,71,Barneombudet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971527765,Offentlig forvaltning
72,72,72,Den norske kirke,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=818066872,Frivillig organisasjon
73,73,73,Drivkraft Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=960498704,Interessegruppe
74,74,74,Elverum kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=952857991,Offentlig forvaltning
75,75,75,Fagforbundet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971075252,Interessegruppe
76,76,76,Fellesforbundet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=950956828,Interessegruppe
77,77,77,Fiskebåt,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=927019426,Interessegruppe
78,78,78,Grønn Byggallianse,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=987297689,Interessegruppe
79,79,79,Helsedirektoratet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=983544622,Offentlig forvaltning
80,80,80,Jernbanedirektoratet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=916810962,Offentlig forvaltning
81,81,81,Offentlig forvaltningsektorens Organisasjon,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971032146,Interessegruppe
82,82,82,Legenes klimaaksjon,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=925243493,Interessegruppe
83,83,83,Levanger SV,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=921539304,Politisk parti
84,84,84,Lyntogforum,,Frivillig organisasjon
85,85,85,Martin Lund-Iversen,,Privatperson
86,86,86,Maskinentreprenørenes Forbund,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980037541,Interessegruppe
87,87,87,Melhus kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=938726027,Offentlig forvaltning
88,88,88,Miljømerking Norge,,Frivillig organisasjon
89,89,89,Morten Jørgensen,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=930496405,Bedrift
90,90,90,Morten Laberg,,Privatperson
91,91,91,Moss kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=920817521,Offentlig forvaltning
92,92,92,Møre og Romsdal fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=944183779,Offentlig forvaltning
93,93,93,Nasjonalforeningen for folkehelsen,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=938429863,Frivillig organisasjon
94,94,94,NHO Logistikk og Transport - Ole A. Hagen (næringspolitisk direktør) og Derya C. Inan (næringspolitisk rådgiver),,Interessegruppe
