,Unnamed: 0.1,Unnamed: 0,actor,url,org_form
60,60,60,Kulturrådet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=920777422,Forening
61,61,61,Kulturtanken,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=974761114,Organisasjonsledd
62,62,62,Kvinnherad INP,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=925825492,Forening
63,63,63,Kviteseid Kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=964963827,Kommune
64,64,64,"Landssamanslutninga av Vasskraftkommunar (LVK), Landssammenslutninga av Norske Vindkraftkommuner (LNVK) og Utmarkskommunenes Sammenslutning (USS)",,Forening
65,65,65,Lars G Solvik,,Privatperson
66,66,66,Larvik kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=918082956,Kommune
67,67,67,Akershus fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=930580783,Fylkeskommune
68,68,68,Aurskog-Høland kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=948164256,Kommune
69,69,69,Avfall Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971274409,Forening
70,70,70,Avinor,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=985198292,Aksjeselskap
71,71,71,Barneombudet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971527765,Organisasjonsledd
72,72,72,Den norske kirke,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=818066872,Kirke
73,73,73,Drivkraft Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=960498704,Forening
74,74,74,Elverum kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=952857991,Kommune
75,75,75,Fagforbundet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971075252,Forening
76,76,76,Fellesforbundet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=950956828,Forening
77,77,77,Fiskebåt,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=927019426,Tingsrettslig sameie
78,78,78,Grønn Byggallianse,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=987297689,Forening
79,79,79,Helsedirektoratet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=983544622,Organisasjonsledd
80,80,80,Jernbanedirektoratet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=916810962,Organisasjonsledd
81,81,81,Kommunesektorens Organisasjon,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971032146,Forening
82,82,82,Legenes klimaaksjon,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=925243493,Forening
83,83,83,Levanger SV,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=921539304,Forening
84,84,84,Lyntogforum,,Forening
85,85,85,Martin Lund-Iversen,,Privatperson
86,86,86,Maskinentreprenørenes Forbund,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980037541,Forening
87,87,87,Melhus kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=938726027,Kommune
88,88,88,Miljømerking Norge,,Stiftelse
89,89,89,Morten Jørgensen,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=930496405,Aksjeselskap
90,90,90,Morten Laberg,,Privatperson
91,91,91,Moss kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=920817521,Kommune
92,92,92,Møre og Romsdal fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=944183779,Fylkeskommune
93,93,93,Nasjonalforeningen for folkehelsen,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=938429863,Forening
94,94,94,NHO Logistikk og Transport - Ole A. Hagen (næringspolitisk direktør) og Derya C. Inan (næringspolitisk rådgiver),,Forening
95,95,95,NHO Transport,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=970168168,Forening
96,96,96,NIBIO,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=993839175,Forening
97,97,97,Norad,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=922263698,Forening
98,98,98,Nordland fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=964982953,Fylkeskommune
99,99,99,Norges Bilbransjeforbund,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=984469403,Forening
100,100,100,Norges Rederiforbund,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971436190,Forening
101,101,101,Norges Skogeierforbund,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=938752826,Forening
102,102,102,Norsk Arbeidsmandsforbund,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=871096082,Forening
103,103,103,Norsk elbilforening,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=982352428,Forening
104,104,104,Norsk Friluftsliv,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971262834,Forening
105,105,105,Norsk Hydro,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=923530827,Norskregistrert utenlandsk foretak
106,106,106,Norsk Hydrogenforum,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980573281,Forening
107,107,107,Norsk Industri,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=952151266,Forening
108,108,108,Norsk institutt for vannforskning (NIVA),,Forskningsinstitutt
109,109,109,Norsk intitutt for naturforskning,,Forskningsinstitutt
110,110,110,Norsk Kjernekraft AS,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=929625021,Aksjeselskap
111,111,111,Norsk senter for økologisk landbruk (NORSØK),,Stiftelse
112,112,112,Norsk Studentorganisasjon,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=995523868,Forening
113,113,113,Norske kjernekraftkommuner,,Forening
114,114,114,NORSKOG,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=956911117,Forening
115,115,115,NTL Norsk Tjenestemannslag,,Forening
116,116,116,NTNU,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=919811307,Universitet
117,117,117,Næringslivets Hovedorganisasjon (NHO),,Forening
118,118,118,Offshore Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=913324420,Aksjeselskap
119,119,119,Olav Øy,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=892963932,Enkeltpersonforetak
120,120,120,Opplysningskontoret for Egg og Kjøtt (OEK/MatPrat),,Markedsføring
121,121,121,Osloregionen interkommunalt politisk råd,,Forening
122,122,122,Overhalla kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=939896600,Kommune
123,123,123,Person som ikke har oppgitt navn (045216),,Privatperson
124,124,124,Person som ikke har oppgitt navn (104132),,Privatperson
125,125,125,Person som ikke har oppgitt navn (129660),,Privatperson
126,126,126,Person som ikke har oppgitt navn (130235),,Privatperson
127,127,127,Person som ikke har oppgitt navn (132351),,Privatperson
128,128,128,Person som ikke har oppgitt navn (140397),,Privatperson
129,129,129,Person som ikke har oppgitt navn (141156),,Privatperson
130,130,130,Person som ikke har oppgitt navn (143385),,Privatperson
131,131,131,Person som ikke har oppgitt navn (144395),,Privatperson
132,132,132,Person som ikke har oppgitt navn (145469),,Privatperson
133,133,133,Person som ikke har oppgitt navn (152116),,Privatperson
134,134,134,Person som ikke har oppgitt navn (166119),,Privatperson
135,135,135,Person som ikke har oppgitt navn (179897),,Privatperson
136,136,136,Person som ikke har oppgitt navn (183356),,Privatperson
137,137,137,Person som ikke har oppgitt navn (184236),,Privatperson
138,138,138,Person som ikke har oppgitt navn (318803),,Privatperson
139,139,139,Person som ikke har oppgitt navn (736715),,Privatperson
140,140,140,Person som ikke har oppgitt navn (834451),,Privatperson
141,141,141,Person som ikke har oppgitt navn (842654),,Privatperson
142,142,142,Person som ikke har oppgitt navn (933520),,Privatperson
143,143,143,Professor emeritus Harald N. Røstvik,,Professor
144,144,144,Pål Arne Veien,,Privatperson
145,145,145,Redd Barna,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=941296459,Forening
146,146,146,Rogaland fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971045698,Fylkeskommune
147,147,147,Røde Kors,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=981321154,Stiftelse
148,148,148,Sabima,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980202062,Forening
149,149,149,Sámediggi - Sametinget,,Staten
150,150,150,Samfunnsbedriftene,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=912868222,Forening
151,151,151,Silje Sønstabø,,Privatperson
152,152,152,Lede AS,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=979422679,Aksjeselskap
153,153,153,Naturvernforbundet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=916988508,Forening
154,154,154,NORCE,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=987375639,Aksjeselskap
155,155,155,Norges Fiskerlag,,Forening
156,156,156,Norges miljø- og biovitenskapelige universitet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=969159570,Universitet
157,157,157,Norsk Bonde- og Småbrukarlag,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=970167943,Forening
158,158,158,Nye veier,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=915488099,Aksjeselskap
159,159,159,Oslo kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=958935420,Kommune
160,160,160,Pelagisk Forening,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=996764737,Forening
161,161,161,Riksantikvaren,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=974760819,Organisasjonsledd
162,162,162,Sandefjord kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=916882807,Kommune
163,163,163,SINTEF,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=919303808,Aksjeselskap
164,164,164,Sjøfartsdirektoratet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=974761262,Organisasjonsledd
165,165,165,Statens vegvesen,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971032081,Organisasjonsledd
166,166,166,Statsforvalteren i Rogaland,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=974763230,Organisasjonsledd
167,167,167,Statsforvalteren i Trøndelag,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=974764350,Organisasjonsledd
168,168,168,Trøndelag fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=817920632,Fylkeskommune
169,169,169,Universitetet i Sørøst-Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=911770709,Universitet
